epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_time
1,2.302151848907471,2.3026047439575197,0.0987,0.1,8.260154485702515
2,2.3026959636688233,2.3025888595581057,0.09626,0.1,8.045743465423584
3,2.302705673980713,2.3025906799316407,0.09618,0.1,7.783778429031372
4,2.302703680419922,2.302593924331665,0.09826,0.1,7.899136543273926
5,2.3026754201507567,2.302598506164551,0.0982,0.1,8.36837363243103
6,2.302693205490112,2.3025895347595213,0.09842,0.1,8.267561912536621
7,2.3026974737548827,2.3025990818023683,0.09582,0.1,8.03882884979248
8,2.3026798902893066,2.3025881816864016,0.09568,0.1,7.806142091751099
9,2.3026885800170898,2.3025935459136964,0.09884,0.1,7.61614727973938
10,2.302689438858032,2.3025952350616454,0.09952,0.1,8.022917032241821
11,2.302679320526123,2.302590357208252,0.09894,0.1,7.714941501617432
12,2.3026754707336425,2.3025886562347413,0.0969,0.1,7.50370454788208
13,2.3026607851409913,2.302586194229126,0.09594,0.1,7.845029830932617
14,2.3026543714141847,2.302587162399292,0.09788,0.1,7.6365954875946045
15,2.302638064804077,2.3025872825622558,0.097,0.1,7.766265869140625
16,2.302643488082886,2.302589019393921,0.09754,0.1,7.581817865371704
17,2.302645812072754,2.302588400268555,0.09512,0.1,8.303539991378784
18,2.3026263731384278,2.302587379837036,0.09824,0.1,8.07878589630127
19,2.3026286056518557,2.3025860275268553,0.09684,0.1,7.864718198776245
20,2.3026220152282715,2.3025856601715087,0.09878,0.1,7.705049991607666
21,2.3026155168151856,2.3025854618072508,0.09802,0.1,7.874676942825317
22,2.3026067294311523,2.302585545349121,0.097,0.1,8.125118732452393
23,2.3026046983337403,2.3025852577209474,0.0987,0.1,7.633263111114502
24,2.302600736846924,2.3025852764129637,0.09716,0.1,8.116475343704224
25,2.302595857772827,2.3025853134155274,0.09858,0.1,8.144243717193604
26,2.3025928175354005,2.3025852432250975,0.0985,0.1,7.916022062301636
27,2.3025907316589356,2.3025851379394533,0.09724,0.1,7.860450267791748
28,2.3025883769226074,2.3025852005004883,0.09852,0.1,7.571630954742432
29,2.3025866194152833,2.3025852619171143,0.1,0.1,8.19391942024231
30,2.3025854734802245,2.3025852794647217,0.1,0.1,7.82605767250061
