epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_time
1,1.5411839232635498,1.1669469650268556,0.423,0.5736,7.878115892410278
2,1.0884993159866334,1.3340560987472534,0.6113,0.5453,7.531883716583252
3,0.923511773853302,0.93009423828125,0.67472,0.6816,7.941143035888672
4,0.8111806468391418,0.8778174668312073,0.72154,0.7114,7.826171875
5,0.7392218032073975,0.6743731715202331,0.7497,0.7679,7.592694282531738
6,0.6867187389755249,0.9005026928901673,0.76744,0.712,7.9909820556640625
7,0.6376851630783081,0.8163233734130859,0.78492,0.7247,7.537282943725586
8,0.5905280913352966,0.6153835063457489,0.80194,0.8013,7.875574111938477
9,0.550820352859497,0.6679246888637542,0.81496,0.7843,7.719789981842041
10,0.5169991119480133,0.5996425784111022,0.82608,0.8041,8.170435190200806
11,0.48071580745697023,0.5236023787498474,0.83776,0.8254,7.707203149795532
12,0.4484530635070801,0.5294118600368499,0.84866,0.8183,7.625454902648926
13,0.4162853750991821,0.4595721138000488,0.8602,0.8435,7.829913854598999
14,0.3909416378211975,0.48432445430755616,0.86742,0.8345,8.093806982040405
15,0.36128207447052,0.4816456799030304,0.8779,0.8439,7.603628396987915
16,0.33590572931289675,0.42356883039474486,0.88754,0.8581,7.76081657409668
17,0.3115585081672668,0.4805344813346863,0.89378,0.8479,7.7626707553863525
18,0.2854572130012512,0.39358250188827515,0.90286,0.866,7.8515026569366455
19,0.2624714639186859,0.3607423372745514,0.91184,0.8819,7.669444561004639
20,0.2382560153770447,0.3791214468002319,0.91822,0.8768,7.831781387329102
21,0.21212276861190796,0.3715374946594238,0.92758,0.881,8.187422752380371
22,0.18922685503005982,0.3612137602329254,0.93466,0.8854,7.799162149429321
23,0.16810378821372987,0.35303171830177305,0.94262,0.8876,7.579144716262817
24,0.14654605704307555,0.3650982464313507,0.95,0.8857,7.748549222946167
25,0.13213090801715852,0.3532973339557648,0.9546,0.8943,8.19215703010559
26,0.1175375637102127,0.35679488048553465,0.96038,0.8945,7.445552587509155
27,0.10463046067476273,0.35581981992721556,0.9653,0.8953,7.7677483558654785
28,0.09527551771998405,0.35181158652305605,0.96846,0.8965,7.870265007019043
29,0.0905803780221939,0.3514718050956726,0.9699,0.8984,8.078262329101562
30,0.0879724955368042,0.35081375560760497,0.97078,0.8981,7.713747262954712
