epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_time
1,2.191848938674927,1.8951428981781007,0.16296,0.2644,7.276882171630859
2,1.8201646020126343,1.6154191242218017,0.29404,0.371,7.416875839233398
3,1.6007291722869874,1.5243659166336059,0.38584,0.4161,7.4668495655059814
4,1.4266485793685912,1.2379954084396363,0.46498,0.5481,7.372724533081055
5,1.243768258895874,1.098461932182312,0.54792,0.6049,7.161325454711914
6,1.1028399908065796,1.0648074363708495,0.60792,0.6205,7.805867433547974
7,0.9838533277130127,0.890386256980896,0.6512,0.6873,7.405364274978638
8,0.9078326844406128,0.8171421556472779,0.6814,0.7177,7.423310995101929
9,0.8380194882583618,0.7403750331878662,0.7103,0.7406,7.744677782058716
10,0.7712128397369384,0.7337797756195068,0.73256,0.7437,7.288036823272705
11,0.7102610973167419,0.6780230295181274,0.75588,0.7647,7.844250917434692
12,0.6682112969017029,0.6679545156478882,0.77322,0.7757,7.759259223937988
13,0.6292862582588196,0.603939500617981,0.78626,0.7946,7.494074583053589
14,0.5931729685974121,0.5767770602703094,0.80012,0.8049,7.774746656417847
15,0.553932589302063,0.5773253129959106,0.81202,0.8087,7.856042146682739
16,0.526191953716278,0.5628399982452392,0.8223,0.8135,7.511042356491089
17,0.4876425883102417,0.5424678347587586,0.8358,0.8245,7.771238803863525
18,0.46739337594985964,0.5365955937385559,0.84228,0.8264,7.958849668502808
19,0.43639658166885376,0.49219805665016175,0.85438,0.8394,7.6283111572265625
20,0.4090705012702942,0.5140682463645935,0.86304,0.8402,7.571779251098633
21,0.384748786611557,0.5009741735935211,0.8716,0.8405,7.464019298553467
22,0.3654970247268677,0.5036277629375457,0.87832,0.8441,7.716939926147461
23,0.3413970050430298,0.4800527163028717,0.88752,0.8472,7.267087697982788
24,0.32312911889076235,0.48454554719924925,0.89074,0.849,7.606120586395264
25,0.30973293721199036,0.4660008704185486,0.89678,0.8548,7.297740697860718
26,0.29405438856124877,0.4655056515216827,0.9032,0.8574,7.247084379196167
27,0.2847959575366974,0.47323299551010134,0.90516,0.8529,7.216165542602539
28,0.2768193774414062,0.46224826192855833,0.90872,0.8579,7.483520030975342
29,0.27067946784973146,0.45853511233329775,0.91096,0.8594,7.81481409072876
30,0.2682664716529846,0.45613367395401,0.91104,0.8603,7.6604955196380615
