epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_time
1,1.6938695036697389,1.4271924276351928,0.37638,0.4845,7.584923267364502
2,1.4158919717788696,1.217452731704712,0.48576,0.562,7.643350601196289
3,1.286782855682373,1.1715787088394165,0.53438,0.575,7.58698844909668
4,1.1954516131591797,1.0687548954010009,0.57348,0.6202,7.54064679145813
5,1.1332931581497192,1.0360663158416747,0.59464,0.6324,7.787623882293701
6,1.0757648850250243,0.9931727076530457,0.61612,0.6483,7.271063327789307
7,1.0362119107818604,0.9288135381698608,0.6317,0.6801,7.171528339385986
8,0.9985427341079712,0.9170604656219482,0.64658,0.676,7.437303781509399
9,0.965654880695343,0.9068659289360046,0.65756,0.6887,7.601571083068848
10,0.9431586545944214,0.8871704670906067,0.66564,0.6912,7.578883409500122
11,0.9203679830932617,0.8533039140701294,0.67484,0.7039,7.64700174331665
12,0.8976034980392456,0.8450296061515808,0.6824,0.7058,7.580504655838013
13,0.8796104113006592,0.8107904415130616,0.68896,0.7191,7.481115102767944
14,0.8614870015907288,0.8025995143890381,0.69694,0.7213,7.401432752609253
15,0.8483082454299927,0.7951129342079163,0.70124,0.7268,7.736481666564941
16,0.8301107292556763,0.7870127194404603,0.70832,0.7293,7.752953290939331
17,0.8193678288269043,0.7932837158203125,0.71136,0.7273,7.381701707839966
18,0.8054920587158203,0.7710943912506103,0.71774,0.7364,7.653366565704346
19,0.7912965726852417,0.7515375625610352,0.7221,0.7426,7.429332256317139
20,0.7851350072097778,0.7510877358436584,0.72314,0.7411,7.895017147064209
21,0.7683710025596618,0.7434416192054748,0.72914,0.7455,7.392916202545166
22,0.758214658317566,0.7420654195785522,0.7323,0.7448,7.531601428985596
23,0.7516515635871888,0.7267820406913758,0.73596,0.7491,7.522611379623413
24,0.7433303532218933,0.7445390854835511,0.73688,0.7439,7.578178882598877
25,0.7414231909179687,0.7304524332046509,0.73974,0.746,7.525632619857788
26,0.732649555683136,0.7182002698898315,0.74542,0.752,7.355071067810059
27,0.7287915451431275,0.7157209399223328,0.74188,0.7537,7.615173816680908
28,0.7266692406463623,0.7187422843933106,0.7457,0.7519,7.486765623092651
29,0.7231379154586792,0.714211458015442,0.74576,0.7534,7.474118232727051
30,0.7224448708534241,0.7133260858535767,0.7469,0.7545,7.413684606552124
