epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_time
1,1.5485572013092042,1.2788474771499634,0.41802,0.5476,7.8826446533203125
2,1.0489401803588867,1.1462782722473144,0.62732,0.606,8.00213074684143
3,0.8493764269638061,0.8464362823486328,0.702,0.7076,7.717445135116577
4,0.7195441143608093,0.7346427826881409,0.75178,0.7532,7.7569825649261475
5,0.639477879447937,0.6406302956581116,0.78016,0.7808,8.17959213256836
6,0.5797061728477478,0.6362776325702667,0.80186,0.7899,7.544223308563232
7,0.5272126682662964,0.5770680673599243,0.8197,0.7988,7.530589818954468
8,0.4860430694389343,0.5501657437801362,0.83434,0.8174,7.7487952709198
9,0.43736219507217405,0.49829846000671385,0.85034,0.8327,7.7924580574035645
10,0.4081368121623993,0.4572839093208313,0.8604,0.8485,7.872607231140137
11,0.3756243136024475,0.4671327159881592,0.87152,0.8477,7.7320497035980225
12,0.3458691747188568,0.4899890480041504,0.88342,0.8446,7.803420543670654
13,0.3137716083717346,0.3995952241897583,0.89234,0.8663,8.079843044281006
14,0.29039606985092165,0.3929441211223602,0.90124,0.8698,7.753291368484497
15,0.26440909974098203,0.431379256439209,0.9091,0.8582,7.897174835205078
16,0.24207564158916473,0.4263518982410431,0.91706,0.8613,8.06392502784729
17,0.21798577593803406,0.43693066959381105,0.92462,0.8638,8.267461776733398
18,0.19877795567989348,0.3900462811470032,0.93166,0.8775,8.117435216903687
19,0.17606215722084045,0.3720040250778198,0.93864,0.8856,7.992748975753784
20,0.15851942059993743,0.3834651427268982,0.94588,0.8828,7.807600259780884
21,0.14060544343471526,0.40602535335421563,0.9515,0.8799,7.784301996231079
22,0.12341369149684905,0.41521509189605715,0.95712,0.8839,7.819227933883667
23,0.10900487890720367,0.3951491040468216,0.96206,0.8912,7.584287166595459
24,0.09762916847467422,0.4042305440187454,0.96672,0.8907,7.450838565826416
25,0.08785461209774018,0.39803986775875094,0.97022,0.8954,7.8146491050720215
26,0.07831649922490119,0.410727241396904,0.9724,0.8923,7.888011693954468
27,0.07229384627103806,0.4154306568145752,0.97572,0.893,7.848662376403809
28,0.06758249688386916,0.41298964004516603,0.97652,0.8959,7.877035617828369
29,0.06436686252355575,0.41610770153999327,0.97832,0.8958,8.215923309326172
30,0.06429722676992417,0.4172085364818573,0.97796,0.8971,7.761645793914795
